Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[29] Operator Copy (NC, X32)[29,0]: Elapsed 0 (ms)
[30] Operator Copy (NC, X32)[29,1]: Elapsed 0 (ms)
[31] Operator Transpose (ND, X32)[30,0]: Elapsed 0 (ms)
[32] Operator Transpose (ND, X32)[31,0]: Elapsed 0 (ms)
[33] Operator Slice (ND, X32)[32,0]: Elapsed 0 (ms)
[34] Operator Slice (ND, X32)[33,0]: Elapsed 0 (ms)
[35] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[36] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[37] Operator Subtract (ND)[36,0]: Elapsed 0 (ms)
[38] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[39] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[40] Operator Add (ND)[39,0]: Elapsed 0 (ms)
[41] Operator Copy (NC, X32)[40,0]: Elapsed 0 (ms)
[42] Operator Copy (NC, X32)[40,1]: Elapsed 0 (ms)
[43] Operator Transpose (ND, X32)[41,0]: Elapsed 0 (ms)
[44] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[45] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[46] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[47] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[48] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[49] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[50] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[51] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[52] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[53] Operator Transpose (ND, X32)[9,0]: Elapsed 1 (ms)
[54] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[55] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[56] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[57] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[58] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[59] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[60] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[61] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[62] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[63] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[64] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[65] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[66] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[67] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[68] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[69] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[70] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 8 (ms)
[71] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[72] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[73] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 4 (ms)
[74] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[75] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 6 (ms)
[76] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[77] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[78] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[79] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[80] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[81] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[82] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[83] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[84] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[85] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[86] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[87] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[88] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[89] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
