Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[204] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[205] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[206] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[207] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[208] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[209] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[210] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[211] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[212] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 7 (ms)
[213] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[214] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[215] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[216] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[217] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 6 (ms)
[218] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[219] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[220] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[221] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[222] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[223] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[224] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[225] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[226] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[227] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[228] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[229] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[230] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[231] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[232] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[233] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[234] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[235] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[236] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[237] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[238] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[239] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[240] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[241] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[242] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[243] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[244] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[245] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[246] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[247] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[248] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[249] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[250] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[251] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[252] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[253] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[254] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[255] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[256] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[257] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[258] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[259] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[260] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[261] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[262] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[263] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[264] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[265] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[266] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[267] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[268] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[269] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[270] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[271] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[272] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[273] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[274] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[275] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[276] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[277] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[278] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[279] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[280] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[281] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[282] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[283] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[284] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[285] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[286] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[287] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[288] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 4 (ms)
[289] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[290] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[291] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[292] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[293] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[294] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[295] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[296] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[297] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[298] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[299] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[300] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[301] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[302] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[303] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[304] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[305] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[306] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[307] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[308] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[309] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[310] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[311] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[312] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[313] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[314] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[315] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[316] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[317] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[318] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[319] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[320] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[321] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[322] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[323] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[324] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[325] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[326] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[327] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[328] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[329] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[330] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[331] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[332] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[333] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[334] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[335] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[336] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[337] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[338] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[339] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[340] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[341] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[342] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[343] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[344] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[345] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[346] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[347] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[348] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[349] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[350] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[351] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[352] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[353] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[354] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 6 (ms)
[355] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[356] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[357] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 4 (ms)
[358] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[359] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[360] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[361] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[362] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[363] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[364] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[365] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[366] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[367] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[368] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[369] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[370] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[371] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[372] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[373] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[374] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[375] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[376] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[377] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[378] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[379] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[380] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[381] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[382] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[383] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[384] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[385] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[386] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[387] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[388] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[389] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[390] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[391] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[392] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[393] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[394] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[395] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[396] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[397] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[398] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[399] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[400] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[401] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[402] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[403] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[404] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[405] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[406] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[407] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[408] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[409] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[410] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[411] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[412] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[413] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[414] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[415] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[416] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[417] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[418] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[419] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[420] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[421] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[422] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[423] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[424] Operator Multiply (ND)[25,0]: Elapsed 1 (ms)
[425] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 4 (ms)
[426] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[427] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[428] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[429] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[430] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 4 (ms)
[431] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[432] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[433] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[434] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[435] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[436] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[437] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[438] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[439] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[440] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[441] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[442] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[443] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[444] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[445] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[446] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[447] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[448] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[449] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[450] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
