=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3239201184 bytes (3089.14 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3239193728 bytes (3089.14 MB)
  Buffer list size: 7456 bytes
  Data section size: 3239193672 bytes (3089.14 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 142

Buffer Details:
  NOTE: This dump reflects the weight cache FILE layout (static) and the process mapping / runtime addresses (dynamic).
        Columns marked [STATIC] come from the on-disk FlatBuffer file;
        Columns marked [DYNAMIC] are process/runtime values (vary by execution).
  Note: 'Offset' is buffer->offset(), relative to BufferList.base_offset() [STATIC].
        'Memory Range' is [base_offset + offset, base_offset + offset + size - 1] (file byte offsets) [STATIC].
        'Mmapped Addr' is the process virtual address where the file was mapped: mmap_base_ptr + (base_offset + offset) [DYNAMIC].
  mmap base pointer: 0x7e9f64800000 (process virtual address base)
  Cache type: FILE-BACKED
Index  | Weight ID    | Pack Algo ID | Bias ID      | Offset     | Size       | Mmapped Addr [DYNAMIC] | Memory Range [DYNAMIC]
154          | 11342        | None         | 883752960  | 25202688  
65           | 11342        | None         | 2676400128 | 25264128  
178          | 6222         | None         | 403980288  | 15790080  
97           | 78           | None         | 2035691520 | 9474048   
156          | 11342        | None         | 833224704  | 25264128  
157          | 78           | None         | 823750656  | 9474048   
159          | 11342        | None         | 782757888  | 25202688  
66           | 11342        | None         | 2651136000 | 25264128  
183          | 6222         | None         | 302985216  | 15790080  
161          | 11342        | None         | 732229632  | 25264128  
164          | 11342        | None         | 681762816  | 25202688  
166          | 11342        | None         | 631234560  | 25264128  
180          | 11342        | None         | 353513472  | 25264128  
168          | 6222         | None         | 605970432  | 15790080  
137          | 78           | None         | 1227730944 | 9474048   
189          | 11342        | None         | 176787456  | 25202688  
83           | 6222         | None         | 2322886656 | 15790080  
193          | 6222         | None         | 100995072  | 15790080  
197          | 78           | None         | 15790080   | 9474048   
160          | 11342        | None         | 757493760  | 25264128  
148          | 6222         | None         | 1009950720 | 15790080  
125          | 11342        | None         | 1464459264 | 25264128  
169          | 11342        | None         | 580767744  | 25202688  
142          | 78           | None         | 1126735872 | 9474048   
172          | 78           | None         | 520765440  | 9474048   
196          | 11342        | None         | 25264128   | 25264128  
91           | 11342        | None         | 2146160640 | 25264128  
191          | 11342        | None         | 126259200  | 25264128  
114          | 11342        | None         | 1691713536 | 25202688  
190          | 11342        | None         | 151523328  | 25264128  
132          | 78           | None         | 1328726016 | 9474048   
184          | 11342        | None         | 277782528  | 25202688  
186          | 11342        | None         | 227254272  | 25264128  
194          | 11342        | None         | 75792384   | 25202688  
123          | 6222         | None         | 1514926080 | 15790080  
195          | 11342        | None         | 50528256   | 25264128  
165          | 11342        | None         | 656498688  | 25264128  
153          | 6222         | None         | 908955648  | 15790080  
126          | 11342        | None         | 1439195136 | 25264128  
158          | 6222         | None         | 807960576  | 15790080  
170          | 11342        | None         | 555503616  | 25264128  
112          | 78           | None         | 1732706304 | 9474048   
141          | 11342        | None         | 1136209920 | 25264128  
176          | 11342        | None         | 429244416  | 25264128  
175          | 11342        | None         | 454508544  | 25264128  
117          | 78           | None         | 1631711232 | 9474048   
155          | 11342        | None         | 858488832  | 25264128  
143          | 6222         | None         | 1110945792 | 15790080  
84           | 11342        | None         | 2297683968 | 25202688  
192          | 78           | None         | 116785152  | 9474048   
173          | 6222         | None         | 504975360  | 15790080  
185          | 11342        | None         | 252518400  | 25264128  
181          | 11342        | None         | 328249344  | 25264128  
163          | 6222         | None         | 706965504  | 15790080  
139          | 11342        | None         | 1186738176 | 25202688  
68           | 6222         | None         | 2625871872 | 15790080  
80           | 11342        | None         | 2373414912 | 25264128  
140          | 11342        | None         | 1161474048 | 25264128  
82           | 78           | None         | 2338676736 | 9474048   
111          | 11342        | None         | 1742180352 | 25264128  
174          | 11342        | None         | 479772672  | 25202688  
171          | 11342        | None         | 530239488  | 25264128  
150          | 11342        | None         | 959483904  | 25264128  
138          | 6222         | None         | 1211940864 | 15790080  
136          | 11342        | None         | 1237204992 | 25264128  
135          | 11342        | None         | 1262469120 | 25264128  
134          | 11342        | None         | 1287733248 | 25202688  
145          | 11342        | None         | 1060478976 | 25264128  
133          | 6222         | None         | 1312935936 | 15790080  
106          | 11342        | None         | 1843175424 | 25264128  
131          | 11342        | None         | 1338200064 | 25264128  
130          | 11342        | None         | 1363464192 | 25264128  
129          | 11342        | None         | 1388728320 | 25202688  
128          | 6222         | None         | 1413931008 | 15790080  
127          | 78           | None         | 1429721088 | 9474048   
